Network;IP adress;Description, used by
DMZ Network;10.0.1.1;Main Router (DMZ)
DMZ Network;10.0.1.2;Firewall (DMZ)
DMZ Network;10.0.1.3;Mail Server
DMZ Network;10.0.1.4;Web Server
DMZ Network;10.0.1.5;DNS Server
DMZ Network;10.0.1.6;Proxy Server
Internal Services Network;10.20.0.1;Internal Router
Internal Services Network;10.20.0.2;Authentication Server
Internal Services Network;10.20.0.3;Print Service
Internal Services Network;10.20.0.4;Internal Web Server
Internal Services Network;10.20.0.5;Internal Email Server
Internal Services Network;10.20.0.6;Internal DNS Server
Internal Services Network;10.20.0.7;File Share
Internal Services Network;10.20.0.8;Backup Server
Internal Services Network;10.20.0.9;Database Server
Restricted Lab Network;10.10.0.1;Restricted Lab Router
Restricted Lab Network;10.10.0.2;Development Platform
Restricted Lab Network;10.10.0.3;Backup Service
Restricted Lab Network;10.10.0.4;High-Powered Workstation 1
Restricted Lab Network;10.10.0.5;High-Powered Workstation 2
Restricted Lab Network;10.10.0.6;Test, Debug, and Integration Service
Restricted Lab Network;10.10.0.7;Database Service
BYOD Network;192.168.0.1;BYOD Router
BYOD Network;192.168.0.2;BYOD Device 1
BYOD Network;192.168.0.3;BYOD Device 2
BYOD Network;192.168.0.4;BYOD Device 3
BYOD Network;192.168.0.5;BYOD Device 4
BYOD Network;192.168.0.6;BYOD Device 5
BYOD Network;192.168.0.255;Broadcast Address
Client Network;10.30.0.1;Client Router
Client Network;10.30.0.2;Client Workstation 1
Client Network;10.30.0.3;Client Workstation 2
...;...;...
Client Network;10.30.0.100;Client Workstation 100
Client Network;10.30.0.255;Broadcast Address
